Approved_symbol	Chromosome	NCBI_Gene_ID	Chromosome_number	Arm_name	Region_name	Chromosome_arm
RPL13AP15	6q22	100271279	6	q	22	6q
RPL13AP16	7q22.2	100129553	7	q	22.2	7q
RPL13AP17	7q21.11	399670	7	q	21.11	7q
RPL13AP18	8q21.13	402342	8	q	21.13	8q
RPL13AP19	10q11.23	100132924	10	q	11.23	10q
RPL13AP20	12p13.1	387841	12	p	13.1	12p
RPL13AP21	12q13.11	100129799	12	q	13.11	12q
RPL13AP22	12p11.21	441632	12	p	11.21	12p
RPL13AP23	12q13.3	441641	12	q	13.3	12q
RPL13AP24	12p13.3-p13.2	100271603	12	p	13.3	12p
RPL13AP25	13q14.3	100287887	13	q	14.3	13q
RPL13AP26	22q12.2	729212	22	q	12.2	22q
RPL13P	6p22.1	387044	6	p	22.1	6p
RPL13P2	20q13.12	128500	20	q	13.12	20q
RPL13P4	15q24.2	654383	15	q	24.2	15q
RPL13P5	12p13.31	283345	12	p	13.31	12p
RPL13P6	14q32.32	100129176	14	q	32.32	14q
RPL13P7	1q25.2	391140	1	q	25.2	1q
RPL13P8	3q13.13	100270928	3	q	13.13	3q
RPL13P9	5q13-q14	100270927	5	q	13	5q
RPL13P10	5q35.3	100133108	5	q	35.3	5q
RPL13P11	8q13.3	100130225	8	q	13.3	8q
RPL13P12	17p11.2	388344	17	p	11.2	17p
RPL13P13	19q13.43	100129796	19	q	13.43	19q
RPL13P14	20q13.12	100130374	20	q	13.12	20q
RPL14	3p22.1	9045	3	p	22.1	3p
RPL14P1	12q14.2	144581	12	q	14.2	12q
RPL14P2	3p14.2	100270930	3	p	14.2	3p
RPL14P3	4q31.1	730747	4	q	31.1	4q
RPL14P4	12q22	100271282	12	q	22	12q
RPL14P5	Xp22.33 and Yp11.32	442442	X	p	22.33	Xp
RPL14P6	2q14.3	100288533	2	q	14.3	2q
RPL15	3p24.2	6138	3	p	24.2	3p
RPL15P1	20p11.23	128756	20	p	11.23	20p
RPL15P2	14q32.13	326279	14	q	32.13	14q
RPL15P3	6p24.1	653232	6	p	24.1	6p
RPL15P4	6p21.33	100129921	6	p	21.33	6p
RPL15P5	2q22.1	100127993	2	q	22.1	2q
RPL15P6	3q25.32	100270933	3	q	25.32	3q
RPL15P7	4p12	728576	4	p	12	4p
RPL15P8	4q28.2	100270934	4	q	28.2	4q
RPL15P9	6q23.2	100270935	6	q	23.2	6q
RPL15P11	7q33	402694	7	q	33	7q
RPL15P12	8q24.21	100131958	8	q	24.21	8q
RPL15P13	10q25.3	100131338	10	q	25.3	10q
RPL15P14	10q22.1	100271283	10	q	22.1	10q
RPL15P15	11q23.3	100128347	11	q	23.3	11q
RPL15P16	11q13.4	100127949	11	q	13.4	11q
RPL15P17	12p13.31	728002	12	p	13.31	12p
RPL15P18	13q32.3	728088	13	q	32.3	13q
RPL15P19	15q21.1	100131797	15	q	21.1	15q
RPL15P20	16p13.11	646672	16	p	13.11	16p
RPL15P21	17p12	100132722	17	p	12	17p
RPL15P22	22q12.1	100130624	22	q	12.1	22q
RPL17	18q21.1	6139	18	q	21.1	18q
RPL17-C18orf32	18q21.1	100526842	18	q	21.1	18q
RPL17P1	20p11.23	140748	20	p	11.23	20p
RPL17P2	14q23.1	652974	14	q	23.1	14q
RPL17P3	14q31.1	326286	14	q	31.1	14q
RPL17P4	14q32.32	326288	14	q	32.32	14q
RPL17P5	1p22.3	388132	1	p	22.3	1p
RPL17P6	1p31.1	645441	1	p	31.1	1p
RPL17P7	1p13.3	100132742	1	p	13.3	1p
RPL17P8	1q32.1	730255	1	q	32.1	1q
RPL17P9	1p36.11	729301	1	p	36.11	1p
RPL17P10	2q33.1	100270936	2	q	33.1	2q
RPL17P11	2q37.1	100270937	2	q	37.1	2q
RPL17P12	2q22.3	100270938	2	q	22.3	2q
RPL17P13	2q23.2	100270939	2	q	23.2	2q
RPL17P14	2q36.3	100270941	2	q	36.3	2q
RPL17P15	2q14.2	100128117	2	q	14.2	2q
RPL17P16	3p21.31	729349	3	p	21.31	3p
RPL17P17	3p14.1	100270943	3	p	14.1	3p
RPL17P18	3q29	100129657	3	q	29	3q
RPL17P19	4q13.1	100271150	4	q	13.1	4q
RPL17P20	4q12	391655	4	q	12	4q
RPL17P21	5q11.2	100271151	5	q	11.2	5q
RPL17P22	5q11.2	727984	5	q	11.2	5q
RPL17P23	6q22.33	100271152	6	q	22.33	6q
RPL17P24	6q25.2	100271153	6	q	25.2	6q
RPL17P25	6q14.1	442232	6	q	14.1	6q
RPL17P26	6p12.1	100129784	6	p	12.1	6p
RPL17P27	7q34	202789	7	q	34	7q
RPL17P28	7q34	100270940	7	q	34	7q
RPL17P29	8p23.1	100271154	8	p	23.1	8p
RPL17P30	8p12	100271155	8	p	12	8p
RPL17P31	8q13.2	100271156	8	q	13.2	8q
RPL17P32	8q23	100270942	8	q	23	8q
RPL17P33	8p12	646909	8	p	12	8p
RPL17P34	10q23.33	643863	10	q	23.33	10q
RPL17P35	10q21.3	100271284	10	q	21.3	10q
RPL17P36	10q26.11	729340	10	q	26.11	10q
RPL17P37	12q24.23	100271411	12	q	24.23	12q
RPL17P38	12q23.3	100271417	12	q	23.3	12q
RPL17P39	15q23	645296	15	q	23	15q
RPL17P40	16p13.11	100271413	16	p	13.11	16p
RPL17P41	17q24.2	100132645	17	q	24.2	17q
RPL17P42	17q12	100271418	17	q	12	17q
RPL17P43	17p11.2	729259	17	p	11.2	17p
RPL17P44	18q21.33	100129584	18	q	21.33	18q
RPL17P45	18q12.3	100271414	18	q	12.3	18q
RPL17P46	18q21.2	100271419	18	q	21.2	18q
RPL17P47	19p13.2	100271415	19	p	13.2	19p
RPL17P48	20q13.33	100271416	20	q	13.33	20q
RPL17P49	Xp22.2	100271388	X	p	22.2	Xp
RPL17P50	10q22.1	729046	10	q	22.1	10q
RPL18	19q13.33	6141	19	q	13.33	19q
RPL18A	19p13.11	6142	19	p	13.11	19p
RPL18AP1	14q32.12	326289	14	q	32.12	14q
RPL18AP2	21q22.3	387494	21	q	22.3	21q
RPL18AP3	12q23.3	390354	12	q	23.3	12q
RPL18AP4	1p35.1	127545	1	p	35.1	1p
RPL18AP5	1p36.11	729955	1	p	36.11	1p
RPL18AP6	2p16.3	285053	2	p	16.3	2p
RPL18AP7	3p22.2	100133038	3	p	22.2	3p
RPL18AP8	3q11.2	644082	3	q	11.2	3q
RPL18AP9	3p22.1	731642	3	p	22.1	3p
RPL18AP10	7p14.1-p13	100271285	7	p	14.1	7p
RPL18AP11	9p24.1	100127999	9	p	24.1	9p
RPL18AP12	17q21	100271604	17	q	21	17q
RPL18AP13	19p13.2	646189	19	p	13.2	19p
RPL18AP14	Xq22.3	100271420	X	q	22.3	Xq
RPL18AP15	Xq23	392522	X	q	23	Xq
RPL18AP16	Xq28	347544	X	q	28	Xq
RPL18P1	14q21.3	326291	14	q	21.3	14q
RPL18P2	1q25.3	100129421	1	q	25.3	1q
RPL18P3	5q23.1	100129374	5	q	23.1	5q
RPL18P4	7q31.31	392979	7	q	31.31	7q
RPL18P5	7q33	100270944	7	q	33	7q
RPL18P6	8q23.2	100131333	8	q	23.2	8q
RPL18P7	8q23.3	100270945	8	q	23.3	8q
RPL18P8	11p12	100129670	11	p	12	11p
RPL18P9	12p13.32	100129645	12	p	13.32	12p
RPL18P10	13q14.2	100271286	13	q	14.2	13q
RPL18P11	15q25.1	390612	15	q	25.1	15q
RPL18P12	16p13.3	390671	16	p	13.3	16p
RPL18P13	16q23.1	441775	16	q	23.1	16q
RPL19	17q12	6143	17	q	12	17q
RPL19P1	20p13	140759	20	p	13	20p
RPL19P2	3p14.3	654382	3	p	14.3	3p
RPL19P3	1p31.3	100131759	1	p	31.3	1p
RPL19P4	2q21.1	646710	2	q	21.1	2q
RPL19P5	2q35	646532	2	q	35	2q
RPL19P6	3q23	100270946	3	q	23	3q
RPL19P7	3q12	100131527	3	q	12	3q
RPL19P8	4q34.3	391719	4	q	34.3	4q
RPL19P9	5q35.3	653314	5	q	35.3	5q
RPL19P10	5q34	100270948	5	q	34	5q
RPL19P11	5p13.3	100270950	5	p	13.3	5p
RPL19P12	7q22.1	100129424	7	q	22.1	7q
RPL19P13	8p23.1	392193	8	p	23.1	8p
RPL19P14	8q22.2	100270951	8	q	22.2	8q
RPL19P15	9q34.12	642306	9	q	34.12	9q
RPL19P16	10q26.12	646255	10	q	26.12	10q
RPL19P17	12p13	100271287	12	p	13	12p
RPL19P18	17p13.1	100271288	17	p	13.1	17p
RPL19P19	19q13.43	646820	19	q	13.43	19q
RPL19P20	Xp11.3	392451	X	p	11.3	Xp
RPL19P21	Xq28	392557	X	q	28	Xq
RPL21	13q12.2	6144	13	q	12.2	13q
RPL21P1	12q24.31	6145	12	q	24.31	12q
RPL21P2	20p13	140715	20	p	13	20p
RPL21P3	20p11.23	128760	20	p	11.23	20p
RPL21P4	17q21.31	140660	17	q	21.31	17q
RPL21P5	14q12	641613	14	q	12	14q
RPL21P6	14q22.3	652975	14	q	22.3	14q
RPL21P7	14q23.3	145370	14	q	23.3	14q
RPL21P8	14q23.3	319145	14	q	23.3	14q
RPL21P9	14q24.1	283562	14	q	24.1	14q
RPL21P10	14q24.3	319143	14	q	24.3	14q
RPL21P11	14q32.11	157206	14	q	32.11	14q
RPL21P12	14q32.32	122409	14	q	32.32	14q
RPL21P13	14q32.32	319144	14	q	32.32	14q
RPL21P14	15q22.1	729208	15	q	22.1	15q
RPL21P15	15q22.31	654385	15	q	22.31	15q
RPL21P16	10q26.12	729402	10	q	26.12	10q
RPL21P17	3p26.3	727810	3	p	26.3	3p
RPL21P18	12q14.3	729484	12	q	14.3	12q
RPL21P19	1q32.1	641293	1	q	32.1	1q
RPL21P20	1p34.2	388621	1	p	34.2	1p
RPL21P21	1p36.3	100270877	1	p	36.3	1p
RPL21P22	1p35.2	100270878	1	p	35.2	1p
RPL21P23	1p32.2	100270879	1	p	32.2	1p
RPL21P24	1p33	100270880	1	p	33	1p
RPL21P25	1p33	100270881	1	p	33	1p
RPL21P26	1p22-p21	100270882	1	p	22	1p
RPL21P27	1q23	100270952	1	q	23	1q
RPL21P28	1q32.3	100131205	1	q	32.3	1q
RPL21P29	1p36.12	440575	1	p	36.12	1p
RPL21P30	2p16.2	100271157	2	p	16.2	2p
RPL21P31	2q31.1	100271160	2	q	31.1	2q
RPL21P32	2q32.1	100271161	2	q	32.1	2q
RPL21P33	2p16.1	100270953	2	p	16.1	2p
RPL21P34	2q14.3	100270954	2	q	14.3	2q
RPL21P35	2q37.1	100270955	2	q	37.1	2q
RPL21P36	2p22.3	100270956	2	p	22.3	2p
RPL21P37	2p15	100129141	2	p	15	2p
RPL21P38	2q31.1	100131481	2	q	31.1	2q
RPL21P39	3q24	389156	3	q	24	3q
RPL21P40	3p22.3	100271158	3	p	22.3	3p
RPL21P41	3p14.1	100271159	3	p	14.1	3p
RPL21P42	3q25.2	100271162	3	q	25.2	3q
RPL21P43	3q26.2	100271163	3	q	26.2	3q
RPL21P44	4q12	402176	4	q	12	4q
RPL21P45	4p14	727821	4	p	14	4p
RPL21P46	4p15.31	645174	4	p	15.31	4p
RPL21P47	4q13.1	100271164	4	q	13.1	4q
RPL21P48	4q23	100271165	4	q	23	4q
RPL21P49	4q24	100271166	4	q	24	4q
RPL21P50	4q28.1	100271167	4	q	28.1	4q
RPL21P51	4q32.3	100271169	4	q	32.3	4q
RPL21P52	4p12	100128351	4	p	12	4p
RPL21P53	4q28.1	653156	4	q	28.1	4q
RPL21P54	5p13.2	100271168	5	p	13.2	5p
RPL21P55	5q12.3	100271170	5	q	12.3	5q
RPL21P56	5p13.3	100271171	5	p	13.3	5p
RPL21P57	5q33.2	100271172	5	q	33.2	5q
RPL21P58	5q23.1	100271173	5	q	23.1	5q
RPL21P59	5q34	100271174	5	q	34	5q
RPL21P60	5q35.3	100271175	5	q	35.3	5q
RPL21P61	6p22.3	645157	6	p	22.3	6p
RPL21P62	6p24.3	442160	6	p	24.3	6p
RPL21P63	6p24.2	100271176	6	p	24.2	6p
RPL21P64	6q22.33	100271177	6	q	22.33	6q
RPL21P65	6q21	100271178	6	q	21	6q
RPL21P66	6q23.2	100271179	6	q	23.2	6q
RPL21P67	6q23.2	100271180	6	q	23.2	6q
RPL21P68	6p22.2	645452	6	p	22.2	6p
RPL21P69	6q25.3	642738	6	q	25.3	6q
RPL21P70	2p23.1	646489	2	p	23.1	2p
RPL21P71	3q24	729962	3	q	24	3q
RPL21P72	7p22.2	100271181	7	p	22.2	7p
RPL21P73	7q34	100271182	7	q	34	7q
RPL21P74	7q21.3	100271184	7	q	21.3	7q
RPL21P75	7p21.1	728501	7	p	21.1	7p
RPL21P76	7q36.3	645373	7	q	36.3	7q
RPL21P77	8p21.3	100271183	8	p	21.3	8p
RPL21P78	8q24	100271185	8	q	24	8q
RPL21P79	8q11.23	100271188	8	q	11.23	8q
RPL21P80	8p12	100133273	8	p	12	8p
RPL21P81	9q34	100271389	9	q	34	9q
RPL21P82	9q22.31	650059	9	q	22.31	9q
RPL21P83	9p13.2	100271186	9	p	13.2	9p
RPL21P84	9q21.2	100271187	9	q	21.2	9q
RPL21P85	9q22.1-q22.3	100271189	9	q	22.1	9q
RPL21P86	9q22.31	100271190	9	q	22.31	9q
RPL21P87	9q31.3	100131672	9	q	31.3	9q
RPL21P88	10q11.21	100271421	10	q	11.21	10q
RPL21P89	10q11.23	100271422	10	q	11.23	10q
RPL21P90	10q24.1	100271423	10	q	24.1	10q
RPL21P91	10q25.1	100271424	10	q	25.1	10q
RPL21P92	10q21.3	100130400	10	q	21.3	10q
RPL21P93	10p12.1	653665	10	p	12.1	10p
RPL21P94	11p15	100271425	11	p	15	11p
RPL21P95	11q14.1	100271427	11	q	14.1	11q
RPL21P96	11q22.3	100271428	11	q	22.3	11q
RPL21P97	11p15.4	387753	11	p	15.4	11p
RPL21P98	12q21.2	653079	12	q	21.2	12q
RPL21P99	12p11.22	100271429	12	p	11.22	12p
RPL21P100	12p13.2	100271430	12	p	13.2	12p
RPL21P101	12q12	100271431	12	q	12	12q
RPL21P102	12p12.1	100271432	12	p	12.1	12p
RPL21P103	12q14.1	100271433	12	q	14.1	12q
RPL21P104	12q14.1	100271435	12	q	14.1	12q
RPL21P105	12q24.22	728693	12	q	24.22	12q
RPL21P106	12q21.33	643264	12	q	21.33	12q
RPL21P107	13q34	644627	13	q	34	13q
RPL21P108	13q22.1	100271434	13	q	22.1	13q
RPL21P109	13q21.33	100271437	13	q	21.33	13q
RPL21P110	13q21.33	100271438	13	q	21.33	13q
RPL21P111	13q31.1	100271439	13	q	31.1	13q
RPL21P112	13q32.1	100270753	13	q	32.1	13q
RPL21P113	15q21	100271440	15	q	21	15q
RPL21P114	15q22.2	100271441	15	q	22.2	15q
RPL21P115	15q23	100271443	15	q	23	15q
RPL21P116	15q25.1	100271444	15	q	25.1	15q
RPL21P117	15q22.2	729241	15	q	22.2	15q
RPL21P118	16q22.3	100271446	16	q	22.3	16q
RPL21P119	16p13.2	653737	16	p	13.2	16p
RPL21P120	17p11.2	731688	17	p	11.2	17p
RPL21P121	17p11.2	100271445	17	p	11.2	17p
RPL21P122	17p12	100271447	17	p	12	17p
RPL21P123	17q11.2	100271448	17	q	11.2	17q
RPL21P124	17q21	100271450	17	q	21	17q
RPL21P125	17p13.3	100129685	17	p	13.3	17p
RPL21P126	18q21.2	100271449	18	q	21.2	18q
RPL21P127	18p11.31	100271452	18	p	11.31	18p
RPL21P128	18q11.1	440487	18	q	11.1	18q
RPL21P129	19p13.2	100271451	19	p	13.2	19p
RPL21P130	19p13.2	100271453	19	p	13.2	19p
RPL21P131	19q13.11	388532	19	q	13.11	19q
RPL21P132	Xq22.1	100271390	X	q	22.1	Xq
RPL21P133	Xq26.3	100271391	X	q	26.3	Xq
RPL21P134	Xq13.3	728782	X	q	13.3	Xq
RPL21P135	3p22.2	100419391	3	p	22.2	3p
RPL21P136	12p13.1	100419521	12	p	13.1	12p
RPL22	1p36.31	6146	1	p	36.31	1p
RPL22L1	3q26.2	200916	3	q	26.2	3q
RPL22P1	3q26.2	125371	3	q	26.2	3q
RPL22P2	14q24.3	326292	14	q	24.3	14q
RPL22P3	1p36.13	729662	1	p	36.13	1p
RPL22P4	1q32.1	100129102	1	q	32.1	1q
RPL22P5	1q21.1	100132479	1	q	21.1	1q
RPL22P6	1p11.2	100132047	1	p	11.2	1p
RPL22P7	2q21.1	100129819	2	q	21.1	2q
RPL22P8	2q12.3	100270957	2	q	12.3	2q
RPL22P10	2q12.2	100128408	2	q	12.2	2q
RPL22P11	2q13	402100	2	q	13	2q
RPL22P12	2q13	727747	2	q	13	2q
RPL22P13	4q12	442108	4	q	12	4q
RPL22P14	6q15	100270960	6	q	15	6q
RPL22P16	7p22.1	100270959	7	p	22.1	7p
RPL22P17	10q24.32	100271289	10	q	24.32	10q
RPL22P18	10q22.3	100271290	10	q	22.3	10q
RPL22P19	12q24.31	644022	12	q	24.31	12q
RPL22P20	14q11.2	100128664	14	q	11.2	14q
RPL22P21	17p12	100271455	17	p	12	17p
RPL22P22	Xq21.1	100130922	X	q	21.1	Xq
RPL22P23	Xq26.3	100289184	X	q	26.3	Xq
RPL22P24	1q25.3	100129295	1	q	25.3	1q
RPL23	17q12	9349	17	q	12	17q
RPL23A	17q11.2	6147	17	q	11.2	17q
RPL23AP1	6p22.1	6148	6	p	22.1	6p
RPL23AP2	19p13.12	401904	19	p	13.12	19p
RPL23AP3	21q22.12	8489	21	q	22.12	21q
RPL23AP4	21q22.3	54029	21	q	22.3	21q
RPL23AP5	16p13.3	729480	16	p	13.3	16p
RPL23AP6	20p12.2	128709	20	p	12.2	20p
RPL23AP7	2q14.1	118433	2	q	14.1	2q
RPL23AP8	14q13.1	641614	14	q	13.1	14q
RPL23AP10	14q32.2	326293	14	q	32.2	14q
RPL23AP11	14q32.31	326294	14	q	32.31	14q
RPL23AP12	21q22.2	391282	21	q	22.2	21q
RPL23AP14	12p13.33	341511	12	p	13.33	12p
RPL23AP15	1q42.13	391175	1	q	42.13	1q
RPL23AP16	1q32.1	647201	1	q	32.1	1q
RPL23AP17	1p34.2	100271138	1	p	34.2	1p
RPL23AP18	1q32.3	728134	1	q	32.3	1q
RPL23AP19	1p36.23	100131143	1	p	36.23	1p
RPL23AP20	1q43	645962	1	q	43	1q
RPL23AP21	1p36.33	728481	1	p	36.33	1p
RPL23AP22	1q31.2	100271291	1	q	31.2	1q
RPL23AP23	1q42.3	100271292	1	q	42.3	1q
RPL23AP24	1p36.33	728517	1	p	36.33	1p
RPL23AP25	1q44	653789	1	q	44	1q
RPL23AP26	2q37.1	391490	2	q	37.1	2q
RPL23AP27	2q12.1	100271456	2	q	12.1	2q
RPL23AP28	2q36.1	100271457	2	q	36.1	2q
RPL23AP29	2q23.3	100271458	2	q	23.3	2q
RPL23AP30	2q33.1	100271459	2	q	33.1	2q
RPL23AP31	2q35	100271460	2	q	35	2q
RPL23AP32	2p16.2	56969	2	p	16.2	2p
RPL23AP33	2q32.1	100271293	2	q	32.1	2q
RPL23AP34	2p23.2	100271294	2	p	23.2	2p
RPL23AP35	2q32.1	100271295	2	q	32.1	2q
RPL23AP36	2q33.2	100271296	2	q	33.2	2q
RPL23AP37	2p14	130773	2	p	14	2p
RPL23AP38	3p26.3	391504	3	p	26.3	3p
RPL23AP39	3p26.3	100271461	3	p	26.3	3p
RPL23AP40	3q22.3	100271462	3	q	22.3	3q
RPL23AP41	3q23	646685	3	q	23	3q
RPL23AP42	3q26.1	647099	3	q	26.1	3q
RPL23AP43	3p22.3	389101	3	p	22.3	3p
RPL23AP44	5q23.1	391825	5	q	23.1	5q
RPL23AP45	5q35.3	729764	5	q	35.3	5q
RPL23AP46	6q23.2	442260	6	q	23.2	6q
RPL23AP47	6q27	729277	6	q	27	6q
RPL23AP48	6q22.31	728567	6	q	22.31	6q
RPL23AP49	3p12.3	653236	3	p	12.3	3p
RPL23AP50	6q21	728106	6	q	21	6q
RPL23AP51	7p21.3	100271464	7	p	21.3	7p
RPL23AP52	7p21.3	100271465	7	p	21.3	7p
RPL23AP53	8p23.3	644128	8	p	23.3	8p
RPL23AP54	8p23.2	100271466	8	p	23.2	8p
RPL23AP55	8p21.3	100271467	8	p	21.3	8p
RPL23AP56	8q24.22	645809	8	q	24.22	8q
RPL23AP57	9p24.1	648294	9	p	24.1	9p
RPL23AP58	10q24.32	100271616	10	q	24.32	10q
RPL23AP59	10q25.1	100271618	10	q	25.1	10q
RPL23AP60	10q26.3	728933	10	q	26.3	10q
RPL23AP61	10q11.22	728484	10	q	11.22	10q
RPL23AP62	11q23.1	100271617	11	q	23.1	11q
RPL23AP63	11p11.2	729798	11	p	11.2	11p
RPL23AP64	11q23.3	649946	11	q	23.3	11q
RPL23AP65	11p15.4	440027	11	p	15.4	11p
RPL23AP66	12p13.2	100271620	12	p	13.2	12p
RPL23AP67	12q24.33	100271622	12	q	24.33	12q
RPL23AP68	12q21.32	100130555	12	q	21.32	12q
RPL23AP69	13q12.13	100271623	13	q	12.13	13q
RPL23AP70	14q13.2	100271619	14	q	13.2	14q
RPL23AP71	14q13.1	644384	14	q	13.1	14q
RPL23AP72	16q12.1	100271621	16	q	12.1	16q
RPL23AP73	17p13.1	100271625	17	p	13.1	17p
RPL23AP74	17q23.2	729617	17	q	23.2	17q
RPL23AP75	17q21.2	728207	17	q	21.2	17q
RPL23AP76	17p12	441781	17	p	12	17p
RPL23AP77	18q11.2	728538	18	q	11.2	18q
RPL23AP78	19p13.2	100271624	19	p	13.2	19p
RPL23AP79	19q13.43	100271626	19	q	13.43	19q
RPL23AP80	19q13.33	390949	19	q	13.33	19q
RPL23AP81	20q12	100271627	20	q	12	20q
RPL23AP82	22q13.33	284942	22	q	13.33	22q
RPL23AP83	Xp11.21	100131846	X	p	11.21	Xp
RPL23AP85	1p32.2	100419650	1	p	32.2	1p
RPL23AP86	16p13.3	100507357	16	p	13.3	16p
RPL23AP87	17q25.3	388574	17	q	25.3	17q
RPL23AP88	2q37.3	100289034	2	q	37.3	2q
RPL23AP89	1p36.22	106480336	1	p	36.22	1p
RPL23AP90	1p21.2	106480690	1	p	21.2	1p
RPL23AP91	16q21	106480337	16	q	21	16q
RPL23AP92	2p13.3	106481731	2	p	13.3	2p
RPL23AP93	3q29	100288802	3	q	29	3q
RPL23AP94	4q25	106481971	4	q	25	4q
RPL23AP95	7q22.1	106480338	7	q	22.1	7q
RPL23AP96	8p23.1	392181	8	p	23.1	8p
RPL23AP97	13q34	102723647	13	q	34	13q
RPL23P2	21q21.3	54028	21	q	21.3	21q
RPL23P3	1p31.1	100130630	1	p	31.1	1p
RPL23P4	2q35	100270961	2	q	35	2q
RPL23P5	2q36.1	402120	2	q	36.1	2q
RPL23P6	6p21.2	646949	6	p	21.2	6p
RPL23P7	7p15.2	442659	7	p	15.2	7p
RPL23P8	7p15.3	222901	7	p	15.3	7p
RPL23P9	8q22.3	100129377	8	q	22.3	8q
RPL23P10	8p12	100270962	8	p	12	8p
RPL23P11	10p11.22	100271297	10	p	11.22	10p
RPL24	3q12.3	6152	3	q	12.3	3q
RPL24P2	20p11.23	140760	20	p	11.23	20p
RPL24P3	14q24.1	145235	14	q	24.1	14q
RPL24P4	6p21.1	377381	6	p	21.1	6p
RPL24P5	1q31.3	100129017	1	q	31.3	1q
RPL24P6	3q29	100129808	3	q	29	3q
RPL24P7	3p24.3	100270963	3	p	24.3	3p
RPL24P8	9q21.12	100270964	9	q	21.12	9q
RPL24P9	Xp22.33	100129487	X	p	22.33	Xp
RPL26	17p13.1	6154	17	p	13.1	17p
RPL26L1	5q35.1	51121	5	q	35.1	5q
RPL26L1-AS1	5q35.1	100268168	5	q	35.1	5q
RPL26P2	14q11.2	326297	14	q	11.2	14q
RPL26P3	14q12	326298	14	q	12	14q
RPL26P4	14q32.31	283603	14	q	32.31	14q
RPL26P5	15q26.2	654386	15	q	26.2	15q
RPL26P6	10q22.2	100131526	10	q	22.2	10q
RPL26P7	1p36.2	100270883	1	p	36.2	1p
RPL26P8	1p36.11	100270884	1	p	36.11	1p
RPL26P9	1p21.3	100270885	1	p	21.3	1p
RPL26P10	1p13.1	100270886	1	p	13.1	1p
RPL26P11	1q25.1	730070	1	q	25.1	1q
RPL26P12	1q24.1	391126	1	q	24.1	1q
RPL26P13	2p16.1	130865	2	p	16.1	2p
RPL26P14	2q22.3	100133235	2	q	22.3	2q
RPL26P15	2p21	100270965	2	p	21	2p
RPL26P16	4q32.3	646966	4	q	32.3	4q
RPL26P17	4q21.1	100128318	4	q	21.1	4q
RPL26P18	5q33.3	100270968	5	q	33.3	5q
RPL26P19	5q11.2	441073	5	q	11.2	5q
RPL26P20	6q14.1	100271191	6	q	14.1	6q
RPL26P21	7p21.2	646161	7	p	21.2	7p
RPL26P22	7q35	643101	7	q	35	7q
RPL26P23	7q36.3	100129517	7	q	36.3	7q
RPL26P24	7q35	728311	7	q	35	7q
RPL26P25	8p12	100270966	8	p	12	8p
RPL26P26	8q12.1	100270967	8	q	12.1	8q
RPL26P27	10q21.3	100271471	10	q	21.3	10q
RPL26P28	10p15.1	100130983	10	p	15.1	10p
RPL26P29	10q21.3	100131788	10	q	21.3	10q
RPL26P30	11p15.5	653147	11	p	15.5	11p
RPL26P31	11q21	100271469	11	q	21	11q
RPL26P32	12q21.31	400055	12	q	21.31	12q
RPL26P33	12q13.13	100132547	12	q	13.13	12q
RPL26P34	13q12.12	100271470	13	q	12.12	13q
RPL26P35	18q23	100128115	18	q	23	18q
RPL26P36	Xq21.31	392501	X	q	21.31	Xq
RPL26P37	Yp11.2	441533	Y	p	11.2	Yp
RPL27	17q21.31	6155	17	q	21.31	17q
RPL27A	11p15.4	6157	11	p	15.4	11p
RPL27AP	20q13.12	128481	20	q	13.12	20q
RPL27AP2	1q23.2	391124	1	q	23.2	1q
RPL27AP3	2q32.1	100271298	2	q	32.1	2q
RPL27AP4	2q13	100271299	2	q	13	2q
RPL27AP5	5q13.3	100271300	5	q	13.3	5q
RPL27AP6	6q25.2	389435	6	q	25.2	6q
RPL27AP7	6p12	100271301	6	p	12	6p
RPL27AP8	13q14.2	100271605	13	q	14.2	13q
RPL27P1	14q12	326299	14	q	12	14q
RPL27P2	1q23.2	646446	1	q	23.2	1q
RPL27P4	1p35.3	646624	1	p	35.3	1p
RPL27P5	2p15	100270969	2	p	15	2p
RPL27P6	2p15	647112	2	p	15	2p
RPL27P7	2q14.2	100129234	2	q	14.2	2q
RPL27P8	2q33.3	729332	2	q	33.3	2q
RPL27P9	3p14.3	100270970	3	p	14.3	3p
RPL27P10	5p13.3	202122	5	p	13.3	5p
RPL27P11	7q32.3	442723	7	q	32.3	7q
RPL27P12	12q24.31	100271302	12	q	24.31	12q
RPL28	19q13.42	6158	19	q	13.42	19q
RPL28P1	3q26.2	402149	3	q	26.2	3q
RPL28P2	2q37.1	100270971	2	q	37.1	2q
RPL28P3	5q23.2	391828	5	q	23.2	5q
RPL28P4	15q22.1	441726	15	q	22.1	15q
RPL28P5	19p13.2	729279	19	p	13.2	19p
RPL28P6	22q11.21	100129262	22	q	11.21	22q
RPL29	3p21.2	6159	3	p	21.2	3p
RPL29P1	6p24.3	134756	6	p	24.3	6p
RPL29P2	17p13.1	118432	17	p	13.1	17p
RPL29P3	14q13.3	729042	14	q	13.3	14q
RPL29P4	6q22.2	387101	6	q	22.2	6q
RPL29P5	1p31.1	646417	1	p	31.1	1p
RPL29P6	1p36.12	391019	1	p	36.12	1p
RPL29P7	1q24.2	100270972	1	q	24.2	1q
RPL29P8	2q31.1	100131991	2	q	31.1	2q
RPL29P9	3q27.3	647285	3	q	27.3	3q
RPL29P11	3p22.2	100131713	3	p	22.2	3p
