NCBI GeneID	Symbol	Description	Common Name	Transcripts
124907560	LOC124907560	C-terminal-binding protein 2-like	human	
124907561	LOC124907561	cell division cycle protein 27 homolog	human	1
124907562	LOC124907562	cell division cycle protein 27 homolog	human	
124907563	LOC124907563	cell division cycle protein 27 homolog	human	
124907564	LOC124907564	uncharacterized protein C2orf27A-like	human	
124907565	LOC124907565	ankyrin repeat domain-containing protein 36C-like	human	
124907566	LOC124907566	protein FRG1-like	human	1
124907567	LOC124907567	collagen alpha-1(III) chain-like	human	
124907568	LOC124907568	cell division cycle protein 27 homolog	human	
124907569	LOC124907569	protein FRG1-like	human	
124907570	LOC124907570	translation initiation factor IF-2-like	human	
124907571	LOC124907571	uncharacterized LOC124907571	human	
124907572	LOC124907572	5.8S ribosomal RNA	human	1
124907573	LOC124907573	5.8S ribosomal RNA	human	1
124907574	LOC124907574	5.8S ribosomal RNA	human	1
124907575	LOC124907575	5.8S ribosomal RNA	human	1
124907576	LOC124907576	5.8S ribosomal RNA	human	1
124907577	LOC124907577	5.8S ribosomal RNA	human	1
124907578	LOC124907578	5.8S ribosomal RNA	human	1
124907579	LOC124907579	5.8S ribosomal RNA	human	1
124907580	LOC124907580	5.8S ribosomal RNA	human	1
124907581	LOC124907581	5.8S ribosomal RNA	human	1
124907582	LOC124907582	5.8S ribosomal RNA	human	1
124907583	LOC124907583	uncharacterized LOC124907583	human	
124907584	LOC124907584	5.8S ribosomal RNA	human	1
124907585	LOC124907585	5.8S ribosomal RNA	human	1
124907586	LOC124907586	5.8S ribosomal RNA	human	1
124907587	LOC124907587	5.8S ribosomal RNA	human	1
124907588	LOC124907588	5.8S ribosomal RNA	human	1
124907589	LOC124907589	5.8S ribosomal RNA	human	1
124907590	LOC124907590	5.8S ribosomal RNA	human	1
124907591	LOC124907591	5.8S ribosomal RNA	human	1
124907592	LOC124907592	5.8S ribosomal RNA	human	1
124907593	LOC124907593	5.8S ribosomal RNA	human	1
124907594	LOC124907594	5.8S ribosomal RNA	human	1
124907595	LOC124907595	5.8S ribosomal RNA	human	1
124907596	LOC124907596	5.8S ribosomal RNA	human	1
124907597	LOC124907597	5.8S ribosomal RNA	human	1
124907598	LOC124907598	5.8S ribosomal RNA	human	1
124907599	LOC124907599	uncharacterized LOC124907599	human	1
124907600	LOC124907600	5.8S ribosomal RNA	human	1
124907601	LOC124907601	18S ribosomal RNA	human	1
124907602	LOC124907602	18S ribosomal RNA	human	1
124907603	LOC124907603	18S ribosomal RNA	human	1
124907604	LOC124907604	18S ribosomal RNA	human	1
124907605	LOC124907605	18S ribosomal RNA	human	1
124907606	LOC124907606	18S ribosomal RNA	human	1
124907607	LOC124907607	18S ribosomal RNA	human	1
124907608	LOC124907608	18S ribosomal RNA	human	1
124907609	LOC124907609	18S ribosomal RNA	human	1
124907610	LOC124907610	18S ribosomal RNA	human	1
124907611	LOC124907611	5.8S ribosomal RNA	human	1
124907612	LOC124907612	18S ribosomal RNA	human	1
124907613	LOC124907613	18S ribosomal RNA	human	1
124907614	LOC124907614	18S ribosomal RNA	human	1
124907615	LOC124907615	18S ribosomal RNA	human	1
124907616	LOC124907616	18S ribosomal RNA	human	1
124907617	LOC124907617	18S ribosomal RNA	human	1
124907618	LOC124907618	18S ribosomal RNA	human	1
124907619	LOC124907619	18S ribosomal RNA	human	1
124907620	LOC124907620	18S ribosomal RNA	human	1
124907621	LOC124907621	18S ribosomal RNA	human	1
124907622	LOC124907622	5.8S ribosomal RNA	human	1
124907623	LOC124907623	18S ribosomal RNA	human	1
124907624	LOC124907624	18S ribosomal RNA	human	1
124907625	LOC124907625	18S ribosomal RNA	human	1
124907626	LOC124907626	18S ribosomal RNA	human	1
124907627	LOC124907627	18S ribosomal RNA	human	1
124907628	LOC124907628	18S ribosomal RNA	human	1
124907629	LOC124907629	18S ribosomal RNA	human	1
124907630	LOC124907630	18S ribosomal RNA	human	1
124907631	LOC124907631	18S ribosomal RNA	human	1
124907632	LOC124907632	18S ribosomal RNA	human	1
124907633	LOC124907633	5.8S ribosomal RNA	human	1
124907634	LOC124907634	18S ribosomal RNA	human	1
124907635	LOC124907635	18S ribosomal RNA	human	1
124907636	LOC124907636	18S ribosomal RNA	human	1
124907637	LOC124907637	18S ribosomal RNA	human	1
124907638	LOC124907638	18S ribosomal RNA	human	1
124907639	LOC124907639	18S ribosomal RNA	human	1
124907640	LOC124907640	18S ribosomal RNA	human	1
124907641	LOC124907641	18S ribosomal RNA	human	1
124907642	LOC124907642	18S ribosomal RNA	human	1
124907643	LOC124907643	18S ribosomal RNA	human	1
124907644	LOC124907644	5.8S ribosomal RNA	human	1
124907645	LOC124907645	18S ribosomal RNA	human	1
124907646	LOC124907646	18S ribosomal RNA	human	1
124907647	LOC124907647	18S ribosomal RNA	human	1
124907648	LOC124907648	18S ribosomal RNA	human	1
124907649	LOC124907649	18S ribosomal RNA	human	1
124907650	LOC124907650	18S ribosomal RNA	human	1
124907651	LOC124907651	18S ribosomal RNA	human	1
124907652	LOC124907652	18S ribosomal RNA	human	1
124907653	LOC124907653	18S ribosomal RNA	human	1
124907654	LOC124907654	18S ribosomal RNA	human	1
124907655	LOC124907655	5.8S ribosomal RNA	human	1
124907656	LOC124907656	28S ribosomal RNA	human	1
124907657	LOC124907657	28S ribosomal RNA	human	1
124907658	LOC124907658	28S ribosomal RNA	human	1
124907659	LOC124907659	28S ribosomal RNA	human	1
124907660	LOC124907660	28S ribosomal RNA	human	1
124907661	LOC124907661	28S ribosomal RNA	human	1
124907662	LOC124907662	5.8S ribosomal RNA	human	1
124907663	LOC124907663	28S ribosomal RNA	human	1
124907664	LOC124907664	28S ribosomal RNA	human	1
124907665	LOC124907665	28S ribosomal RNA	human	1
124907666	LOC124907666	28S ribosomal RNA	human	1
124907667	LOC124907667	28S ribosomal RNA	human	1
124907668	LOC124907668	28S ribosomal RNA	human	1
124907669	LOC124907669	28S ribosomal RNA	human	1
124907670	LOC124907670	28S ribosomal RNA	human	1
124907671	LOC124907671	28S ribosomal RNA	human	1
124907672	LOC124907672	28S ribosomal RNA	human	1
124907673	LOC124907673	5.8S ribosomal RNA	human	1
124907674	LOC124907674	28S ribosomal RNA	human	1
124907675	LOC124907675	28S ribosomal RNA	human	1
124907676	LOC124907676	28S ribosomal RNA	human	1
124907677	LOC124907677	28S ribosomal RNA	human	1
124907678	LOC124907678	28S ribosomal RNA	human	1
124907679	LOC124907679	28S ribosomal RNA	human	1
124907680	LOC124907680	28S ribosomal RNA	human	1
124907681	LOC124907681	28S ribosomal RNA	human	1
124907682	LOC124907682	28S ribosomal RNA	human	1
124907683	LOC124907683	28S ribosomal RNA	human	1
124907684	LOC124907684	5.8S ribosomal RNA	human	1
124907685	LOC124907685	28S ribosomal RNA	human	1
124907686	LOC124907686	28S ribosomal RNA	human	1
124907687	LOC124907687	28S ribosomal RNA	human	1
124907688	LOC124907688	28S ribosomal RNA	human	1
124907689	LOC124907689	28S ribosomal RNA	human	1
124907690	LOC124907690	28S ribosomal RNA	human	1
124907691	LOC124907691	28S ribosomal RNA	human	1
124907692	LOC124907692	28S ribosomal RNA	human	1
124907693	LOC124907693	28S ribosomal RNA	human	1
124907694	LOC124907694	5.8S ribosomal RNA	human	1
124907695	LOC124907695	28S ribosomal RNA	human	1
124907696	LOC124907696	28S ribosomal RNA	human	1
124907697	LOC124907697	28S ribosomal RNA	human	1
124907698	LOC124907698	28S ribosomal RNA	human	1
124907699	LOC124907699	28S ribosomal RNA	human	1
124907700	LOC124907700	28S ribosomal RNA	human	1
124907701	LOC124907701	28S ribosomal RNA	human	1
124907702	LOC124907702	28S ribosomal RNA	human	1
124907703	LOC124907703	28S ribosomal RNA	human	1
124907704	LOC124907704	28S ribosomal RNA	human	1
124907705	LOC124907705	5.8S ribosomal RNA	human	1
124907706	LOC124907706	28S ribosomal RNA	human	1
124907707	LOC124907707	28S ribosomal RNA	human	1
124907708	LOC124907708	uncharacterized LOC124907708	human	
124907709	LOC124907709	5.8S ribosomal RNA	human	1
124907710	LOC124907710	5.8S ribosomal RNA	human	1
124907711	LOC124907711	5.8S ribosomal RNA	human	1
124907712	LOC124907712	5.8S ribosomal RNA	human	1
124907713	LOC124907713	5.8S ribosomal RNA	human	1
124907714	LOC124907714	5.8S ribosomal RNA	human	1
124907715	LOC124907715	5.8S ribosomal RNA	human	1
124907716	LOC124907716	5.8S ribosomal RNA	human	1
124907717	LOC124907717	5.8S ribosomal RNA	human	1
124907718	LOC124907718	5.8S ribosomal RNA	human	1
124907719	LOC124907719	5.8S ribosomal RNA	human	1
124907720	LOC124907720	5.8S ribosomal RNA	human	1
124907721	LOC124907721	5.8S ribosomal RNA	human	1
124907722	LOC124907722	uncharacterized LOC124907722	human	1
124907723	LOC124907723	uncharacterized LOC124907723	human	1
124907724	LOC124907724	uncharacterized LOC124907724	human	1
124907725	LOC124907725	uncharacterized LOC124907725	human	1
124907726	LOC124907726	uncharacterized LOC124907726	human	1
124907727	LOC124907727	uncharacterized LOC124907727	human	1
124907728	LOC124907728	uncharacterized LOC124907728	human	1
124907729	LOC124907729	uncharacterized LOC124907729	human	1
124907730	LOC124907730	uncharacterized LOC124907730	human	1
124907731	LOC124907731	uncharacterized LOC124907731	human	1
124907732	LOC124907732	uncharacterized LOC124907732	human	2
124907733	LOC124907733	uncharacterized LOC124907733	human	1
124907734	LOC124907734	uncharacterized LOC124907734	human	1
124907735	LOC124907735	uncharacterized LOC124907735	human	1
124907736	LOC124907736	uncharacterized LOC124907736	human	1
124907737	LOC124907737	uncharacterized LOC124907737	human	1
124907738	LOC124907738	uncharacterized LOC124907738	human	1
124907739	LOC124907739	uncharacterized LOC124907739	human	1
124907740	LOC124907740	uncharacterized LOC124907740	human	1
124907741	LOC124907741	uncharacterized LOC124907741	human	1
124907742	LOC124907742	uncharacterized LOC124907742	human	1
124907743	LOC124907743	uncharacterized LOC124907743	human	1
124907744	LOC124907744	uncharacterized LOC124907744	human	1
124907745	LOC124907745	uncharacterized LOC124907745	human	1
124907746	LOC124907746	uncharacterized LOC124907746	human	1
124907747	LOC124907747	uncharacterized LOC124907747	human	1
124907748	LOC124907748	uncharacterized LOC124907748	human	1
124907749	LOC124907749	uncharacterized LOC124907749	human	1
124907750	LOC124907750	uncharacterized LOC124907750	human	1
124907751	LOC124907751	uncharacterized LOC124907751	human	2
124907752	LOC124907752	uncharacterized LOC124907752	human	2
124907753	LOC124907753	uncharacterized LOC124907753	human	1
124907754	LOC124907754	uncharacterized LOC124907754	human	1
124907755	LOC124907755	uncharacterized LOC124907755	human	1
124907756	LOC124907756	uncharacterized LOC124907756	human	1
124907757	LOC124907757	uncharacterized LOC124907757	human	1
124907758	LOC124907758	uncharacterized LOC124907758	human	1
124907759	LOC124907759	uncharacterized LOC124907759	human	1
124907760	LOC124907760	keratinocyte-associated protein 2-like	human	
124907761	LOC124907761	uncharacterized LOC124907761	human	1
124907762	LOC124907762	uncharacterized LOC124907762	human	1
124907763	LOC124907763	uncharacterized LOC124907763	human	1
124907765	LOC124907765	uncharacterized LOC124907765	human	1
124907766	LOC124907766	uncharacterized LOC124907766	human	1
124907767	LOC124907767	uncharacterized LOC124907767	human	1
124907768	LOC124907768	uncharacterized LOC124907768	human	1
124907769	LOC124907769	uncharacterized LOC124907769	human	1
124907770	LOC124907770	uncharacterized LOC124907770	human	1
124907771	LOC124907771	uncharacterized LOC124907771	human	1
124907773	LOC124907773	uncharacterized LOC124907773	human	1
124907774	LOC124907774	uncharacterized LOC124907774	human	1
124907775	LOC124907775	uncharacterized LOC124907775	human	1
124907776	LOC124907776	uncharacterized LOC124907776	human	1
124907777	LOC124907777	uncharacterized LOC124907777	human	1
124907778	LOC124907778	uncharacterized LOC124907778	human	7
124907779	LOC124907779	uncharacterized LOC124907779	human	1
124907780	LOC124907780	leucine-rich repeat extensin-like protein 3	human	1
124907781	LOC124907781	uncharacterized LOC124907781	human	1
124907782	LOC124907782	dual specificity protein phosphatase 22	human	17
124907783	LOC124907783	B-cell receptor-associated protein 31-like	human	
124907784	LOC124907784	uncharacterized LOC124907784	human	1
124907785	LOC124907785	uncharacterized LOC124907785	human	4
124907786	LOC124907786	uncharacterized LOC124907786	human	2
124907789	LOC124907789	translation initiation factor IF-2-like	human	1
124907790	LOC124907790	uncharacterized LOC124907790	human	
124907791	LOC124907791	serine/threonine-protein kinase Chk2-like	human	1
124907792	LOC124907792	rhophilin-2-like	human	
124907793	LOC124907793	caskin-1-like	human	
124907794	LOC124907794	zinc finger protein 714-like	human	
124907796	LOC124907796	uncharacterized LOC124907796	human	1
124907797	LOC124907797	uncharacterized LOC124907797	human	1
124907798	LOC124907798	uncharacterized LOC124907798	human	3
124907800	LOC124907800	uncharacterized LOC124907800	human	1
124907802	LOC124907802	uncharacterized LOC124907802	human	1
124907803	LOC124907803	pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial-like	human	10
124907804	LOC124907804	uncharacterized LOC124907804	human	2
124907806	LOC124907806	C-type lectin domain family 18 member C-like	human	16
124907807	LOC124907807	nuclear pore complex-interacting protein family member B15	human	6
124907808	LOC124907808	nuclear pore complex-interacting protein family member B15	human	7
124907809	LOC124907809	uncharacterized LOC124907809	human	2
124907810	LOC124907810	uncharacterized LOC124907810	human	2
124907811	LOC124907811	uncharacterized LOC124907811	human	1
124907812	LOC124907812	uncharacterized LOC124907812	human	1
124907813	LOC124907813	uncharacterized LOC124907813	human	1
124907814	LOC124907814	uncharacterized LOC124907814	human	1
124907815	LOC124907815	uncharacterized LOC124907815	human	1
124907816	LOC124907816	uncharacterized LOC124907816	human	1
124907817	LOC124907817	uncharacterized LOC124907817	human	1
124907819	LOC124907819	uncharacterized LOC124907819	human	1
124907820	LOC124907820	basic proline-rich protein-like	human	1
124907821	LOC124907821	uncharacterized LOC124907821	human	1
124907822	LOC124907822	uncharacterized LOC124907822	human	1
124907823	LOC124907823	uncharacterized LOC124907823	human	1
124907824	LOC124907824	uncharacterized LOC124907824	human	1
124907826	LOC124907826	uncharacterized LOC124907826	human	1
124907827	LOC124907827	uncharacterized LOC124907827	human	1
124907830	LOC124907830	uncharacterized LOC124907830	human	2
124907832	LOC124907832	uncharacterized LOC124907832	human	1
124907834	LOC124907834	nuclear pore complex-interacting protein family member B13-like	human	1
124907836	LOC124907836	serine/threonine-protein kinase SMG1-like	human	1
124907837	LOC124907837	sulfotransferase 1A3	human	1
124907838	LOC124907838	uncharacterized LOC124907838	human	
124907839	LOC124907839	translation initiation factor IF-2-like	human	1
124907840	LOC124907840	uncharacterized LOC124907840	human	1
124907841	LOC124907841	bolA-like protein 2	human	1
124907843	LOC124907843	uncharacterized LOC124907843	human	1
124907844	LOC124907844	uncharacterized LOC124907844	human	2
124907845	LOC124907845	uncharacterized LOC124907845	human	1
124907846	LOC124907846	uncharacterized LOC124907846	human	3
124907847	LOC124907847	uncharacterized LOC124907847	human	11
124907848	LOC124907848	uncharacterized LOC124907848	human	1
124907849	LOC124907849	small nucleolar RNA U13	human	1
124907850	LOC124907850	uncharacterized LOC124907850	human	1
124907851	LOC124907851	uncharacterized LOC124907851	human	1
124907852	LOC124907852	uncharacterized LOC124907852	human	1
124907853	LOC124907853	uncharacterized LOC124907853	human	1
124907854	LOC124907854	uncharacterized LOC124907854	human	4
124907855	LOC124907855	uncharacterized LOC124907855	human	1
124907856	LOC124907856	uncharacterized LOC124907856	human	1
124907857	LOC124907857	uncharacterized LOC124907857	human	1
124907858	LOC124907858	uncharacterized LOC124907858	human	1
124907859	LOC124907859	uncharacterized LOC124907859	human	1
124907860	LOC124907860	uncharacterized LOC124907860	human	1
124907861	LOC124907861	uncharacterized LOC124907861	human	1
124907862	LOC124907862	uncharacterized LOC124907862	human	1
124907863	LOC124907863	uncharacterized LOC124907863	human	1
124907864	LOC124907864	uncharacterized LOC124907864	human	1
124907865	LOC124907865	uncharacterized LOC124907865	human	1
124907866	LOC124907866	uncharacterized LOC124907866	human	1
124907867	LOC124907867	periaxin-like	human	1
124907868	LOC124907868	uncharacterized LOC124907868	human	1
124907869	LOC124907869	uncharacterized LOC124907869	human	1
124907870	LOC124907870	uncharacterized LOC124907870	human	1
124907871	LOC124907871	uncharacterized LOC124907871	human	1
124907872	LOC124907872	uncharacterized LOC124907872	human	1
124907874	LOC124907874	uncharacterized LOC124907874	human	1
124907875	LOC124907875	uncharacterized LOC124907875	human	2
124907876	LOC124907876	uncharacterized LOC124907876	human	1
124907877	LOC124907877	uncharacterized LOC124907877	human	1
124907878	LOC124907878	uncharacterized LOC124907878	human	1
124907879	LOC124907879	uncharacterized LOC124907879	human	1
124907880	LOC124907880	uncharacterized LOC124907880	human	1
124907881	LOC124907881	uncharacterized LOC124907881	human	1
124907882	LOC124907882	uncharacterized LOC124907882	human	1
124907883	LOC124907883	uncharacterized LOC124907883	human	1
124907884	LOC124907884	uncharacterized LOC124907884	human	1
124907885	LOC124907885	uncharacterized LOC124907885	human	1
124907886	LOC124907886	uncharacterized LOC124907886	human	1
124907887	LOC124907887	uncharacterized LOC124907887	human	1
124907888	LOC124907888	uncharacterized LOC124907888	human	1
124907889	LOC124907889	uncharacterized LOC124907889	human	1
124907890	LOC124907890	uncharacterized LOC124907890	human	1
124907891	LOC124907891	uncharacterized LOC124907891	human	1
124907892	LOC124907892	uncharacterized LOC124907892	human	1
124907893	LOC124907893	uncharacterized LOC124907893	human	1
124907894	LOC124907894	uncharacterized LOC124907894	human	1
124907895	LOC124907895	uncharacterized LOC124907895	human	1
124907896	LOC124907896	uncharacterized LOC124907896	human	1
124907897	LOC124907897	uncharacterized LOC124907897	human	1
124907898	LOC124907898	uncharacterized LOC124907898	human	1
124907899	LOC124907899	uncharacterized LOC124907899	human	1
124907900	LOC124907900	uncharacterized LOC124907900	human	1
124907901	LOC124907901	uncharacterized LOC124907901	human	1
124907902	LOC124907902	uncharacterized LOC124907902	human	1
124907903	LOC124907903	uncharacterized LOC124907903	human	1
124907904	LOC124907904	uncharacterized LOC124907904	human	1
124907905	LOC124907905	uncharacterized LOC124907905	human	1
124907906	LOC124907906	uncharacterized LOC124907906	human	1
124907907	LOC124907907	uncharacterized LOC124907907	human	1
124907908	LOC124907908	uncharacterized LOC124907908	human	1
124907909	LOC124907909	uncharacterized LOC124907909	human	1
124907910	LOC124907910	uncharacterized LOC124907910	human	1
124907911	LOC124907911	uncharacterized LOC124907911	human	1
124907912	LOC124907912	uncharacterized LOC124907912	human	1
124907913	LOC124907913	uncharacterized LOC124907913	human	1
124907914	LOC124907914	uncharacterized LOC124907914	human	1
124907915	LOC124907915	uncharacterized LOC124907915	human	1
124907916	LOC124907916	uncharacterized LOC124907916	human	1
124907917	LOC124907917	uncharacterized LOC124907917	human	1
124907918	LOC124907918	uncharacterized LOC124907918	human	1
124907919	LOC124907919	uncharacterized LOC124907919	human	1
124907920	LOC124907920	uncharacterized LOC124907920	human	1
124907924	LOC124907924	uncharacterized LOC124907924	human	1
124907927	LOC124907927	uncharacterized LOC124907927	human	1
124907928	LOC124907928	galectin-9C-like	human	7
124907929	LOC124907929	keratin, type I cytoskeletal 14-like	human	1
124907933	LOC124907933	uncharacterized LOC124907933	human	2
124907934	LOC124907934	uncharacterized LOC124907934	human	2
124907936	LOC124907936	dual specificity mitogen-activated protein kinase kinase 3-like	human	
124907937	LOC124907937	uncharacterized LOC124907937	human	2
124907938	LOC124907938	transportin-1-like	human	
124907939	LOC124907939	podocalyxin-like	human	
124907940	LOC124907940	PDZ and LIM domain protein 1-like	human	
124907941	LOC124907941	endophilin-A2-like	human	
124907942	LOC124907942	uncharacterized LOC124907942	human	1
124907943	LOC124907943	uncharacterized LOC124907943	human	1
124907944	LOC124907944	uncharacterized LOC124907944	human	2
124907945	LOC124907945	uncharacterized LOC124907945	human	3
124907946	LOC124907946	uncharacterized LOC124907946	human	1
124907947	LOC124907947	putative uncharacterized protein FLJ46204	human	1
124907950	LOC124907950	uncharacterized LOC124907950	human	1
124907951	LOC124907951	uncharacterized LOC124907951	human	1
124907952	LOC124907952	uncharacterized LOC124907952	human	1
124907954	LOC124907954	uncharacterized LOC124907954	human	1
124907955	LOC124907955	uncharacterized LOC124907955	human	1
124907956	LOC124907956	uncharacterized LOC124907956	human	1
124907957	LOC124907957	uncharacterized LOC124907957	human	1
124907958	LOC124907958	uncharacterized LOC124907958	human	1
124907959	LOC124907959	uncharacterized LOC124907959	human	1
124907960	LOC124907960	U6 spliceosomal RNA	human	1
124907961	LOC124907961	U6 spliceosomal RNA	human	1
124907962	LOC124907962	uncharacterized LOC124907962	human	2
124907963	LOC124907963	U2 spliceosomal RNA	human	1
124907964	LOC124907964	U2 spliceosomal RNA	human	1
124907965	LOC124907965	U2 spliceosomal RNA	human	1
124907966	LOC124907966	uncharacterized LOC124907966	human	1
124907967	LOC124907967	uncharacterized LOC124907967	human	1
124907968	LOC124907968	uncharacterized LOC124907968	human	1
124907969	LOC124907969	uncharacterized LOC124907969	human	1
124907970	LOC124907970	uncharacterized LOC124907970	human	2
124907971	LOC124907971	uncharacterized LOC124907971	human	1
124907972	LOC124907972	uncharacterized LOC124907972	human	1
124907973	LOC124907973	uncharacterized LOC124907973	human	1
124907974	LOC124907974	uncharacterized LOC124907974	human	1
124907975	LOC124907975	uncharacterized LOC124907975	human	1
124907976	LOC124907976	uncharacterized LOC124907976	human	1
124907977	LOC124907977	uncharacterized LOC124907977	human	1
124907978	LOC124907978	uncharacterized LOC124907978	human	1
124907979	LOC124907979	uncharacterized LOC124907979	human	1
124907980	LOC124907980	uncharacterized LOC124907980	human	1
124907981	LOC124907981	uncharacterized LOC124907981	human	1
124907982	LOC124907982	uncharacterized LOC124907982	human	1
124907983	LOC124907983	uncharacterized LOC124907983	human	1
124907984	LOC124907984	uncharacterized LOC124907984	human	1
124907985	LOC124907985	uncharacterized LOC124907985	human	1
124907986	LOC124907986	uncharacterized LOC124907986	human	2
124907987	LOC124907987	uncharacterized LOC124907987	human	1
124907988	LOC124907988	uncharacterized LOC124907988	human	1
124907989	LOC124907989	uncharacterized LOC124907989	human	2
124907990	LOC124907990	uncharacterized LOC124907990	human	1
124907991	LOC124907991	uncharacterized LOC124907991	human	1
124907992	LOC124907992	uncharacterized LOC124907992	human	1
124907993	LOC124907993	uncharacterized LOC124907993	human	1
124907994	LOC124907994	uncharacterized LOC124907994	human	1
124907995	LOC124907995	uncharacterized LOC124907995	human	1
124907996	LOC124907996	formin-like protein 16	human	2
124907997	LOC124907997	uncharacterized LOC124907997	human	1
124907998	LOC124907998	uncharacterized LOC124907998	human	1
124907999	LOC124907999	uncharacterized LOC124907999	human	1
124908000	LOC124908000	uncharacterized LOC124908000	human	1
124908001	LOC124908001	uncharacterized LOC124908001	human	1
124908002	LOC124908002	uncharacterized LOC124908002	human	1
124908003	LOC124908003	uncharacterized LOC124908003	human	1
124908004	LOC124908004	uncharacterized LOC124908004	human	1
124908005	LOC124908005	uncharacterized LOC124908005	human	1
124908006	LOC124908006	uncharacterized LOC124908006	human	1
124908007	LOC124908007	mucin-22-like	human	1
124908009	LOC124908009	uncharacterized LOC124908009	human	1
124908010	LOC124908010	uncharacterized LOC124908010	human	1
124908011	LOC124908011	uncharacterized LOC124908011	human	1
124908012	LOC124908012	uncharacterized LOC124908012	human	1
124908013	LOC124908013	tubulin beta 8B	human	6
124908014	LOC124908014	uncharacterized LOC124908014	human	3
124908015	LOC124908015	tubulin beta 8B	human	6
124908016	LOC124908016	uncharacterized LOC124908016	human	1
124908017	LOC124908017	uncharacterized LOC124908017	human	3
124908018	LOC124908018	uncharacterized LOC124908018	human	1
124908019	LOC124908019	uncharacterized LOC124908019	human	2
124908020	LOC124908020	ankyrin repeat domain-containing protein 18B-like	human	
124908021	LOC124908021	uncharacterized LOC124908021	human	1
124908022	LOC124908022	elongin-A3 member B	human	
124908023	LOC124908023	elongin-A3 member B	human	
124908024	LOC124908024	elongin-A3 member B	human	
124908025	LOC124908025	elongin-A3 member B	human	
124908026	LOC124908026	elongin-A3 member B	human	
124908027	LOC124908027	elongin-A3 member B	human	
124908028	LOC124908028	elongin-A3 member B	human	
124908029	LOC124908029	elongin-A3 member B	human	
124908030	LOC124908030	elongin-A3 member B-like	human	
124908031	LOC124908031	uncharacterized LOC124908031	human	2
124908032	LOC124908032	uncharacterized LOC124908032	human	1
124908033	LOC124908033	uncharacterized LOC124908033	human	1
124908034	LOC124908034	uncharacterized LOC124908034	human	2
124908035	LOC124908035	uncharacterized LOC124908035	human	2
124908036	LOC124908036	uncharacterized LOC124908036	human	1
124908037	LOC124908037	uncharacterized LOC124908037	human	1
124908038	LOC124908038	uncharacterized LOC124908038	human	2
124908039	LOC124908039	uncharacterized LOC124908039	human	1
124908040	LOC124908040	basic proline-rich protein-like	human	
124908041	LOC124908041	tubulin beta 8B	human	4
124908042	LOC124908042	uncharacterized LOC124908042	human	3
124908043	LOC124908043	uncharacterized LOC124908043	human	1
124908044	LOC124908044	collagen alpha-1(I) chain-like	human	1
124908045	LOC124908045	uncharacterized LOC124908045	human	2
124908046	LOC124908046	EZH inhibitory protein-like	human	2
124908047	LOC124908047	translation initiation factor IF-2-like	human	1
124908048	LOC124908048	extensin-like	human	1
124908049	LOC124908049	uncharacterized LOC124908049	human	1
124908050	LOC124908050	uncharacterized LOC124908050	human	1
124908051	LOC124908051	uncharacterized LOC124908051	human	1
124908052	LOC124908052	uncharacterized LOC124908052	human	1
124908053	LOC124908053	uncharacterized LOC124908053	human	1
124908054	LOC124908054	uncharacterized LOC124908054	human	1
124908055	LOC124908055	uncharacterized LOC124908055	human	1
124908056	LOC124908056	uncharacterized LOC124908056	human	2
124908057	LOC124908057	uncharacterized LOC124908057	human	1
124908058	LOC124908058	uncharacterized LOC124908058	human	2
124908059	LOC124908059	uncharacterized LOC124908059	human	1
124908060	LOC124908060	uncharacterized LOC124908060	human	1
124908061	LOC124908061	uncharacterized LOC124908061	human	1
124908062	LOC124908062	uncharacterized LOC124908062	human	1
124908063	LINC01825	long intergenic non-protein coding RNA 1825	human	4
124908064	LOC124908064	uncharacterized LOC124908064	human	1
124908066	LOC124908066	proteoglycan 4-like	human	1
124908067	LOC124908067	uncharacterized LOC124908067	human	1
124908068	LOC124908068	uncharacterized LOC124908068	human	3
124908070	LOC124908070	uncharacterized LOC124908070	human	1
124908071	LOC124908071	uncharacterized LOC124908071	human	1
124908072	LOC124908072	uncharacterized LOC124908072	human	1
124908073	LOC124908073	uncharacterized LOC124908073	human	1
124908074	LOC124908074	uncharacterized LOC124908074	human	2
124908076	LOC124908076	uncharacterized LOC124908076	human	2
124908077	LOC124908077	uncharacterized LOC124908077	human	2
124908078	LOC124908078	uncharacterized LOC124908078	human	1
124908080	LOC124908080	uncharacterized LOC124908080	human	1
124908081	LOC124908081	glycine cleavage system H protein, mitochondrial-like	human	1
124908082	LOC124908082	uncharacterized LOC124908082	human	2
124908083	LOC124908083	uncharacterized LOC124908083	human	2
124908084	LOC124908084	uncharacterized LOC124908084	human	1
124908085	LOC124908085	uncharacterized LOC124908085	human	1
124908087	LOC124908087	uncharacterized LOC124908087	human	1
124908088	LOC124908088	histone demethylase UTY-like	human	
124908089	LOC124908089	pistil-specific extensin-like protein	human	1
124908090	LOC124908090	uncharacterized LOC124908090	human	3
124908092	LOC124908092	leukocyte immunoglobulin-like receptor subfamily B member 5	human	
124908093	LOC124908093	uncharacterized LOC124908093	human	1
124908094	LOC124908094	WAS protein family homolog 2-like	human	15
124908095	LOC124908095	uncharacterized LOC124908095	human	2
124908096	LOC124908096	uncharacterized LOC124908096	human	1
124908097	LOC124908097	uncharacterized LOC124908097	human	1
124908098	LOC124908098	uncharacterized LOC124908098	human	9
124908099	LOC124908099	uncharacterized LOC124908099	human	1
